chnm	casn	gene_name	assay_name	assay_format_type	assay_source_name	organism	logc	resp	idx
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-1.096910013	0.188476641	139685
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.522878745	0.201773464	139686
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.096910013	0.052433962	139687
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.301029996	0.109121722	139688
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.84509804	0.034342242	139689
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.301029996	-0.327224049	139690
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.77815125	-0.251277056	139691
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	2.301029996	-0.281166628	139692
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-1.096910013	0.188476641	139693
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.522878745	0.201773464	139694
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.096910013	0.052433962	139695
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.301029996	0.109121722	139696
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.84509804	0.034342242	139697
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.301029996	-0.327224049	139698
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.77815125	-0.251277056	139699
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	2.301029996	-0.281166628	139700
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-1.096910013	0.091171141	139832
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.522878745	-0.269566479	139833
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.096910013	0.095315449	139834
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.301029996	0.054723186	139835
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.84509804	0.235184623	139836
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.301029996	-0.078063081	139837
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.77815125	-0.238205954	139838
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	2.301029996	-0.457100931	139839
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-1.096910013	0.091171141	139840
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.522878745	-0.269566479	139841
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.096910013	0.095315449	139842
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.301029996	0.054723186	139843
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.84509804	0.235184623	139844
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.301029996	-0.078063081	139845
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.77815125	-0.238205954	139846
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	2.301029996	-0.457100931	139847
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	2.301029996	-0.141612648	140464
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.77815125	0.109386693	140465
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.301029996	0.167501437	140466
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.84509804	-0.0748594	140467
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.301029996	-0.081521232	140468
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.096910013	0.195618941	140469
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.522878745	-0.041956159	140470
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-1.096910013	0.020149343	140471
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	2.301029996	-0.141612648	140472
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.77815125	0.109386693	140473
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	1.301029996	0.167501437	140474
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.84509804	-0.0748594	140475
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	0.301029996	-0.081521232	140476
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.096910013	0.195618941	140477
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-0.522878745	-0.041956159	140478
17-Methyltestosterone	58-18-4	estrogen-related receptor alpha	ATG_TRANS	cell-based	ATG	human	-1.096910013	0.020149343	140479
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	1.301029996	27.21170597	51131
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	1.698970004	17.08707258	51132
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	0.301029996	1.425915353	51133
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	0.698970004	12.51579877	51134
17-Methyltestosterone	58-18-4	estrogen receptor 1	NVS_NR_hER	biochemical	NVS	human	-0.698970004	4.813318303	51135
